Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,24,TOR,14,0,18.1,2.9,6.8,0.432,0.4,1.6,0.261,2.5,5.1,0.486,0.463,1,1.8,0.56,2.3,3.9,6.1,2,0.6,0.4,1.3,1.8,7.3
2,Bam Adebayo,C,26,MIA,16,16,33.6,8.3,15.8,0.522,0.1,0.2,0.333,8.2,15.6,0.524,0.524,5.7,7,0.813,2.1,7.9,9.9,3.9,1.2,1,2.4,2.4,22.3
3,Ochai Agbaji,SG,23,UTA,20,8,20.1,2.2,4.8,0.458,1.2,3,0.39,1.1,1.9,0.568,0.578,0.2,0.3,0.667,0.9,1.8,2.7,1.1,0.6,0.6,0.8,1.5,5.8
4,Santi Aldama,PF,23,MEM,13,4,27.2,5.5,12.2,0.453,1.8,5.7,0.311,3.8,6.5,0.576,0.525,1.1,1.8,0.609,1.5,4.8,6.3,1.9,0.8,0.7,1.2,1.8,13.9
5,Nickeil Alexander-Walker,SG,25,MIN,19,8,23.5,2.5,6.2,0.41,1.4,3.9,0.347,1.2,2.2,0.524,0.521,0.3,0.6,0.455,0.4,1.7,2.2,2.7,0.9,0.7,1.1,1.9,6.7
6,Grayson Allen,SG,28,PHO,18,18,32.8,4,8.2,0.486,2.2,4.8,0.465,1.8,3.4,0.516,0.622,1.6,1.8,0.879,0.8,3.8,4.6,2.9,0.6,0.4,1.6,2.3,11.8
7,Jarrett Allen,C,25,CLE,15,15,29.4,5.5,8,0.692,0,0,,5.5,8,0.692,0.692,2.7,3.7,0.745,3.2,4.9,8.1,2.3,0.5,1.1,1.7,2.7,13.8
8,Jose Alvarado,PG,25,NOP,7,0,16.1,2.7,6.7,0.404,1.3,3.4,0.375,1.4,3.3,0.435,0.5,0.3,0.9,0.333,0.6,1.4,2,2,1,0.1,1,1.3,7
9,Kyle Anderson,PF,30,MIN,19,0,24.2,2.8,5.6,0.5,0.1,0.6,0.167,2.7,4.9,0.543,0.509,1.6,2.3,0.682,0.8,3,3.8,4,0.8,0.8,1.6,1.5,7.3
10,Giannis Antetokounmpo,PF,29,MIL,19,19,34.3,11.5,19,0.607,0.4,1.8,0.229,11.1,17.2,0.647,0.618,6.5,9.9,0.654,2.8,8,10.8,4.9,1.4,1.4,4.2,3.1,29.9
11,Thanasis Antetokounmpo,PF,31,MIL,7,0,6.3,0.4,1.1,0.375,0,0,,0.4,1.1,0.375,0.375,0,0,,0.3,0.3,0.6,0.6,0.1,0.1,0.6,1,0.9
12,Cole Anthony,PG,23,ORL,20,0,25.8,4.9,11.1,0.443,1.5,3.9,0.372,3.5,7.2,0.483,0.509,4,4.7,0.849,1.1,3.5,4.6,3.6,0.8,0.5,2.1,3,15.2
13,OG Anunoby,SF,26,TOR,16,16,31.8,5.5,11.9,0.463,2.5,6.3,0.4,3,5.6,0.533,0.568,1.1,1.8,0.586,1.1,3.1,4.1,2.1,1.1,0.8,1.8,2.4,14.6
14,Ryan Arcidiacono,PG,29,NYK,5,0,2.2,0,0.2,0,0,0.2,0,0,0,,0,0,0,,0,0.4,0.4,0,0,0,0,0,0
15,Deni Avdija,SF,23,WAS,19,19,26.6,4.8,9.2,0.526,1.1,2.7,0.385,3.8,6.5,0.585,0.583,1.5,1.8,0.829,1.3,3.9,5.3,3.7,0.9,0.3,1.4,2.3,12.3
16,Deandre Ayton,C,25,POR,18,18,31.9,6,10.2,0.587,0,0,,6,10.2,0.587,0.587,0.9,1.2,0.81,3.1,7.7,10.8,1.6,1.2,0.7,1.9,2.6,12.9
17,Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,2,2,0,0,0,0,0.5,1
18,Marvin Bagley III,C,24,DET,19,6,18.1,3.8,6.7,0.575,0.1,0.3,0.2,3.8,6.4,0.59,0.579,2.1,2.4,0.87,1.8,2.9,4.8,1.2,0.1,0.6,1.2,1.5,9.8
19,Amari Bailey,PG,19,CHO,1,0,3,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,0,0,0,0,0,2
20,Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.3,0.3,0.3,0,0,0,0.3,0
21,LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,0.443,3.5,8.9,0.388,5.3,10.9,0.488,0.53,3.6,4.2,0.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
22,Mo Bamba,C,25,PHI,9,0,6.3,1.4,2.7,0.542,0.3,0.8,0.429,1.1,1.9,0.588,0.604,0.7,0.9,0.75,1.3,1,2.3,0.1,0.1,0.8,0.7,0.8,3.9
23,Paolo Banchero,PF,21,ORL,20,20,33.4,7.1,14.7,0.481,1.4,3.1,0.443,5.7,11.6,0.491,0.527,4.1,6.1,0.669,1.4,5.5,6.9,4.9,1.1,0.6,3.1,2.3,19.5
24,Desmond Bane,SG,25,MEM,19,19,34,8.6,19.1,0.453,3.3,8.8,0.369,5.4,10.2,0.526,0.539,3.3,3.8,0.849,0.9,3.5,4.4,5.2,1.4,0.7,2.7,3.1,23.8
25,Dalano Banton,PG,24,BOS,9,1,8.9,1.4,2.9,0.5,0.1,0.8,0.143,1.3,2.1,0.632,0.519,0.6,0.7,0.833,1,1.3,2.3,0.4,0.2,0.2,0.2,1.2,3.6
26,Dominick Barlow,PF,20,SAS,7,0,5,0.4,1,0.429,0,0,,0.4,1,0.429,0.429,0.3,0.6,0.5,0,0.7,0.7,0,0.1,0,0,0.3,1.1
27,Harrison Barnes,PF,31,SAC,18,18,31.4,4.2,8.7,0.481,1.8,4.8,0.379,2.3,3.8,0.609,0.587,2.1,2.5,0.844,0.8,2.4,3.2,1.5,0.8,0.1,0.8,1.2,12.3
28,Scottie Barnes,SG,22,TOR,20,20,34.8,7.3,15.7,0.466,2,5.1,0.382,5.4,10.6,0.507,0.529,3.1,4,0.772,2.7,6.4,9.1,5.5,1.8,1.3,2.3,2.1,19.6
